group,exam,time,finished,makespan,expand number,generated number,depth
1,1,41.8171,True,43,19704,126991,33
1,2,186.128,True,47,124873,649592,33
1,3,47.9823,True,47,37149,171544,33
1,4,518.023,True,62,369609,1694100,33
1,5,270.891,True,39,194345,1046601,33
1,6,184.981,True,48,190678,816390,33
1,7,0.449165,True,60,288,1548,33
1,8,2.24708,True,53,1580,8746,33
1,9,73.0644,True,49,40423,253434,33
1,10,31.5295,True,45,19642,117464,33
2,1,15.0964,True,38,11570,57364,33
2,2,32.3881,True,51,24648,135793,33
2,3,0.25148,True,43,171,972,33
2,4,13.4044,True,43,10422,55499,33
2,5,0.806979,True,51,577,2934,33
2,6,0.275232,True,47,196,967,33
2,7,0.513347,True,47,296,1916,33
2,8,224.355,True,54,145606,881854,33
2,9,12.5172,True,54,8576,46265,33
2,10,7.31144,True,43,4294,27517,33
3,1,0.0388047,True,72,39,132,33
3,2,12.0359,True,40,10529,52359,33
3,3,0.787945,True,57,558,2952,33
3,4,0.158623,True,98,129,510,33
3,5,58.3429,True,53,50419,250145,33
3,6,0.0973486,True,54,73,324,33
3,7,0.526851,True,48,323,2086,33
3,8,0.702889,True,54,374,2368,33
3,9,96.5443,True,65,79909,387527,33
3,10,34.8162,True,59,30028,147286,33
4,1,0.078361,True,49,61,280,33
4,2,0.0866454,True,60,69,292,33
4,3,0.166971,True,47,123,625,33
4,4,0.248001,True,57,179,868,33
4,5,4.27869,True,59,2342,15238,33
4,6,0.040025,True,45,39,136,33
4,7,0.145867,True,56,101,495,33
4,8,0.104061,True,55,74,348,33
4,9,3.70528,True,38,2185,13959,33
4,10,0.250865,True,48,228,876,33
5,1,748.806,False,0,244398,1272745,0
5,2,743.346,False,0,280061,1401503,0
5,3,708.634,False,0,300182,1551964,0
5,4,851.779,False,0,209570,1370987,0
5,5,821.992,False,0,267360,1281619,0
5,6,684.822,False,0,186784,1309850,0
5,7,633.868,False,0,174938,1260566,0
5,8,742.998,False,0,213305,1273309,0
5,9,831.47,False,0,250364,1323613,0
5,10,813.493,False,0,243909,1231939,0
6,1,165.566,True,59,90215,463444,33
6,2,910.063,False,0,236992,1392997,0
6,3,9.38845,True,48,5765,31283,33
6,4,78.6156,True,42,42811,242524,33
6,5,937.874,False,0,384406,1577865,0
6,6,1.55913,True,37,599,4326,33
6,7,870.571,False,0,306510,1623778,0
6,8,50.5606,True,39,34210,186748,33
6,9,107.599,True,51,60554,329333,33
6,10,44.3013,True,61,21969,120891,33
7,1,0.203761,True,55,168,633,33
7,2,0.701087,True,42,362,2117,33
7,3,0.712592,True,42,360,1985,33
7,4,12.5108,True,44,7596,39197,33
7,5,33.1073,True,44,18539,94287,33
7,6,4.96456,True,35,2286,15437,33
7,7,2.76239,True,50,2037,9352,33
7,8,7.57793,True,44,3988,23587,33
7,9,600.002,False,0,488885,1741865,0
7,10,600.004,False,0,418042,1806873,0
8,1,0.0720245,True,44,39,185,33
8,2,0.470448,True,51,224,1242,33
8,3,3.72178,True,53,1430,9931,33
8,4,0.223288,True,48,119,581,33
8,5,0.217128,True,58,127,574,33
8,6,0.350943,True,47,181,871,33
8,7,0.285253,True,41,105,573,33
8,8,1.46859,True,51,707,3756,33
8,9,0.255693,True,39,102,629,33
8,10,0.313733,True,67,143,744,33
9,1,600.003,False,0,166456,1088747,0
9,2,600.004,False,0,225266,1175285,0
9,3,1018.28,False,0,195090,1146840,0
9,4,600.006,False,0,182997,1211499,0
9,5,909.143,False,0,233781,1229338,0
9,6,888.38,False,0,190894,1129098,0
9,7,912.603,False,0,182193,1162707,0
9,8,600.001,False,0,200755,1122842,0
9,9,895.94,False,0,205592,1164030,0
9,10,600.001,False,0,156367,1091314,0
10,1,600.007,False,0,209210,1248368,0
10,2,1044.24,False,0,322588,1239347,0
10,3,600.004,False,0,212512,991360,0
10,4,600.005,False,0,226820,1034771,0
10,5,600.01,False,0,212930,1120509,0
10,6,600.013,False,0,208675,1132640,0
10,7,95.9514,True,49,36900,202471,33
10,8,599.996,False,0,178129,1051218,0
10,9,0.31979,True,49,155,801,33
10,10,599.985,False,0,180625,1132243,0
11,1,5.91768,True,54,3615,16026,33
11,2,0.196482,True,56,110,443,33
11,3,44.2096,True,81,20206,92244,33
11,4,599.986,False,0,249526,1211088,0
11,5,97.9417,True,49,33407,213921,33
11,6,5.29784,True,44,1707,11168,33
11,7,218.356,True,36,80516,454995,33
11,8,2.41286,True,62,1701,6172,33
11,9,0.172565,True,67,81,344,33
11,10,0.359184,True,38,170,831,33
12,1,0.073911,True,47,40,167,33
12,2,0.155712,True,46,55,269,33
12,3,0.37476,True,37,179,916,33
12,4,0.255937,True,63,92,480,33
12,5,3.89728,True,47,1211,8262,33
12,6,3.92832,True,53,2295,9923,33
12,7,5.46886,True,55,2401,11476,33
12,8,2.88105,True,35,838,6460,33
12,9,0.136012,True,52,67,284,33
12,10,17.2664,True,57,7643,38695,33
13,1,599.985,False,0,126537,980267,0
