group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.313719,True,39,1191,3577,23.2531,2.0394e-05,0,0,0.792844,6.95359e-07,0,0
38,7,31.275,True,65,133163,288377,25.3637,2.75074e-05,0,0,1.12157,1.21636e-06,0,0
46,1,21.6544,True,59,92266,199104,28.6664,3.11774e-05,0,0,1.54632,1.68176e-06,0,0
43,3,28.6597,True,57,123554,280783,26.0146,2.65533e-05,0,0,1.09079,1.11338e-06,0,0
16,9,0.31671,True,44,1142,2371,19.8769,2.65509e-05,0,0,1.15339,1.54066e-06,0,0
