group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.436707,True,39,1191,3577,18.2193,2.22435e-05,0,0,0.643406,7.85519e-07,28.4132,3.4689e-05
38,7,34.5626,True,65,133163,288377,22.047,2.64238e-05,0,0,0.975397,1.16903e-06,37.8385,4.53502e-05
46,1,26.6833,True,59,92266,199104,24.5616,3.29166e-05,0,0,1.33029,1.78282e-06,33.0032,4.42298e-05
43,3,32.6971,True,57,123554,280783,23.419,2.72714e-05,0,0,0.974985,1.13537e-06,35.9792,4.18977e-05
16,9,0.328541,True,44,1142,2371,18.7806,2.60235e-05,0,0,1.13812,1.57706e-06,24.068,3.33501e-05
