group,exam,time,finished,makespan,expand number,generated number,depth
13,2,600.002,False,0,163099,1140722,0
13,3,600,False,0,175886,1078478,0
13,4,663.123,False,0,217395,1119065,0
13,5,619.96,False,0,159278,1091308,0
13,6,618.427,False,0,156831,1116715,0
13,7,631.884,False,0,179707,1138202,0
13,8,808.125,False,0,167481,1098158,0
13,9,600.001,False,0,165509,1039989,0
13,10,807.758,False,0,141377,1085116,0
14,1,600.002,False,0,317390,1235000,0
14,2,703.961,False,0,238105,1174107,0
14,3,682.546,False,0,244638,1173516,0
14,4,694.029,False,0,215379,1179307,0
14,5,12.0087,True,52,4748,30789,33
14,6,31.679,True,35,12988,81837,33
14,7,667.566,False,0,204747,1158344,0
14,8,0.604204,True,54,287,1603,33
14,9,717.235,False,0,204505,1200648,0
14,10,793.906,False,0,284003,1204732,0
15,1,7.528,True,46,3170,17031,33
15,2,3.05833,True,47,932,6730,33
15,3,4.174,True,48,3039,12511,33
15,4,3.18241,True,48,1471,7740,33
15,5,848.376,False,0,270275,1190033,0
15,6,0.249184,True,67,96,465,33
15,7,0.0612956,True,47,34,135,33
15,8,755.745,False,0,338760,1255092,0
15,9,0.282294,True,54,145,758,33
15,10,0.708297,True,65,346,1779,33
16,1,5.47559,True,51,2869,13768,33
16,2,0.249303,True,48,115,587,33
16,3,0.145356,True,36,74,368,33
16,4,0.175215,True,47,80,429,33
16,5,0.643344,True,51,285,1556,33
16,6,0.292744,True,51,97,682,33
16,7,0.33298,True,34,156,850,33
16,8,0.353018,True,44,134,787,33
16,9,0.139237,True,44,89,373,33
16,10,77.0177,True,51,43714,208971,33
17,1,886.388,False,0,333506,1560144,0
17,2,55.2989,True,68,44717,190832,33
17,3,0.0924704,True,60,58,231,33
17,4,7.67063,True,49,4487,25235,33
17,5,22.408,True,47,16106,75767,33
17,6,0.0680306,True,63,46,196,33
17,7,13.0013,True,57,7453,40391,33
17,8,1.64611,True,61,1113,4623,33
17,9,14.3981,True,48,10858,51432,33
17,10,0.0817694,True,66,69,259,33
18,1,2.96868,True,53,1849,9607,33
18,2,2.64708,True,55,1710,8984,33
18,3,1.39195,True,56,1099,4595,33
18,4,0.448611,True,70,337,1420,33
