group,exam,time,finished,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
8,9,0.542509,True,1191,3577,24.0652,3.64987e-05,27.1465,4.11721e-05,0.507641,7.69919e-07
38,7,46.8101,True,133163,288377,26.4413,4.29202e-05,29.8522,4.84569e-05,0.72491,1.17669e-06
46,1,36.2005,True,92266,199104,21.5187,3.91247e-05,36.7496,6.6817e-05,0.870191,1.58215e-06
43,3,44.1879,True,123554,280783,24.863,3.91279e-05,33.598,5.28744e-05,0.654936,1.0307e-06
16,9,0.427827,True,1142,2371,24.2131,4.36906e-05,31.662,5.71315e-05,0.920886,1.66166e-06
44,8,34.4493,True,98880,213671,23.0588,3.71768e-05,32.8218,5.29173e-05,0.957661,1.544e-06
11,4,60.0617,False,163741,414017,24.3001,3.52523e-05,32.4088,4.70156e-05,0.954523,1.38473e-06
