group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,60.0396,False,0,412425,1138816,39.138,2.0634e-05,15.2674,8.04912e-06,1.35187,7.12719e-07,0,0
38,7,60.0457,False,0,388109,933317,37.0821,2.3857e-05,11.7143,7.53647e-06,1.31092,8.43388e-07,0,0
46,1,60.0458,False,0,390275,839620,38.2417,2.73487e-05,12.9462,9.25851e-06,1.26081,9.01673e-07,0,0
43,3,60.0489,False,0,361351,886508,38.0679,2.57858e-05,11.8259,8.01045e-06,1.23438,8.36125e-07,0,0
16,9,60.0391,False,0,409631,1095228,41.5383,2.27708e-05,17.4111,9.54456e-06,1.29489,7.09842e-07,0,0
