group,exam,time,finished,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
16,1,60.0376,False,141381,356562,66.5774,0.000112102,36.7322,6.18495e-05,0.810101,1.36404e-06
16,2,60.04,False,185263,342715,63.1483,0.000110629,32.374,5.67158e-05,1.19506,2.09361e-06
16,3,0.100215,True,65,184,19.959,0.000108706,11.2927,6.15054e-05,0.197376,1.075e-06
16,4,0.106717,True,65,203,24.8039,0.000130394,13.7669,7.23729e-05,0.386723,2.033e-06
16,5,0.106314,True,65,221,24.7322,0.000118976,14.3216,6.8895e-05,0.312566,1.50362e-06
16,6,0.100062,True,72,251,27.1882,0.000108387,15.9931,6.3757e-05,0.313306,1.249e-06
16,7,0.107356,True,72,190,20.366,0.000115074,11.0603,6.24937e-05,0.253829,1.43421e-06
16,8,0.115521,True,73,235,23.2759,0.000114419,13.4037,6.58894e-05,0.317779,1.56213e-06
16,9,0.543199,True,1142,2371,52.6848,0.000120701,26.9605,6.17668e-05,0.761324,1.7442e-06
16,10,0.114883,True,66,245,27.0271,0.000126733,15.749,7.38486e-05,0.348704,1.6351e-06
