group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
31,1,0.034443,True,43,94,278,10.306,1.27687e-05,6.85742,8.49604e-06,0.877682,1.08741e-06,6.71951,8.32518e-06
31,2,0.0284935,True,63,70,247,9.89419,1.14138e-05,7.00651,8.08259e-06,0.955657,1.10243e-06,12.8886,1.4868e-05
31,3,0.0875035,True,58,277,621,9.18843,1.29472e-05,6.36455,8.96812e-06,0.949333,1.33768e-06,11.2196,1.58092e-05
31,4,0.027074,True,50,78,216,9.60737,1.20421e-05,6.61668,8.29352e-06,0.985078,1.23472e-06,42.5833,5.3375e-05
31,5,1414.6,False,0,1265348,2459291,3.51173,2.01997e-05,1.26574,7.28064e-06,0.256785,1.47705e-06,1.37893,7.93169e-06
31,6,0.024194,True,53,70,208,9.19773,1.06986e-05,6.11185,7.10913e-06,0.929983,1.08173e-06,80630.2,0.0937869
31,7,0.0266956,True,61,102,227,10.3556,1.21784e-05,6.11674,7.19339e-06,0.844708,9.93392e-07,73083.6,0.0859476
31,8,64.1917,True,58,196806,452228,7.29131,1.03497e-05,5.78386,8.20992e-06,0.663308,9.41535e-07,36.9527,5.24527e-05
31,9,1262.23,False,0,1221322,2603917,2.16506,1.0495e-05,1.49471,7.24547e-06,0.200479,9.71804e-07,4.49439,2.17862e-05
31,10,1355.2,False,0,1149879,2788952,2.11962,1.02996e-05,1.39748,6.79057e-06,0.186299,9.05257e-07,6.41067,3.11505e-05
32,1,0.0311098,True,61,88,257,9.50408,1.15047e-05,5.87178,7.10778e-06,0.946968,1.1463e-06,279265,0.33805
32,2,0.0378393,True,60,83,266,7.67535,1.09184e-05,5.35528,7.61805e-06,0.739971,1.05263e-06,229604,0.326619
32,3,0.0553929,True,57,174,472,9.71352,1.13996e-05,6.7626,7.93644e-06,0.942901,1.10657e-06,156851,0.184078
32,4,29.0218,True,68,99118,242513,8.48748,1.01571e-05,5.42377,6.49068e-06,0.738381,8.83628e-07,307.406,0.000367876
32,5,0.0481714,True,54,194,465,9.66673,1.00142e-05,6.85054,7.09677e-06,0.793624,8.22151e-07,185213,0.19187
32,6,0.0189029,True,44,64,149,8.94466,1.13477e-05,5.74938,7.29396e-06,0.842199,1.06846e-06,471994,0.598796
32,7,0.0242823,True,35,76,191,9.14329,1.16241e-05,5.83388,7.41675e-06,0.926189,1.17749e-06,367437,0.467132
32,8,0.020862,True,54,63,162,8.28013,1.0663e-05,5.4036,6.95864e-06,0.892532,1.14938e-06,427683,0.550761
32,9,0.0259637,True,65,70,215,9.16896,1.10726e-05,6.46903,7.81209e-06,0.856966,1.03488e-06,343651,0.414998
32,10,0.0247199,True,51,69,181,8.40578,1.14801e-05,5.4001,7.37514e-06,0.858418,1.17238e-06,360948,0.492961
33,1,600.004,False,0,972899,2109109,4.29585,1.22209e-05,1.96804,5.59873e-06,0.442546,1.25896e-06,18.0104,5.12364e-05
33,2,600,False,0,728941,1613502,3.19062,1.18647e-05,1.57664,5.86293e-06,0.323631,1.20346e-06,20.1851,7.50609e-05
33,3,600,False,0,993136,2552629,4.80678,1.12984e-05,2.52362,5.93182e-06,0.41391,9.72903e-07,24.1564,5.67799e-05
33,4,600.003,False,0,919336,2126490,4.01329,1.13238e-05,2.04342,5.76564e-06,0.360585,1.01741e-06,27.9528,7.88707e-05
33,5,600.005,False,0,1035504,2475594,4.68996,1.1367e-05,2.66128,6.45009e-06,0.419094,1.01575e-06,32.0873,7.77694e-05
33,6,11.2999,True,59,42630,81737,7.13272,9.86075e-06,3.73793,5.16757e-06,0.433377,5.9913e-07,1714.91,0.00237081
33,7,0.179636,True,58,716,1460,8.71241,1.07196e-05,4.76225,5.85938e-06,0.632836,7.7863e-07,107887,0.132742
33,8,600,False,0,1098515,2365984,4.25712,1.07958e-05,2.28435,5.793e-06,0.329928,8.3668e-07,37.817,9.59018e-05
33,9,600.001,False,0,1083639,2252347,4.36457,1.16267e-05,2.11178,5.62557e-06,0.43648,1.16274e-06,41.3822,0.000110238
33,10,1.48609,True,53,5785,12149,9.01541,1.10278e-05,4.60221,5.62952e-06,0.765734,9.36661e-07,16717.2,0.0204489
34,1,607.027,False,0,603786,1346021,2.65063,1.19538e-05,1.31472,5.92911e-06,0.280402,1.26455e-06,42.7045,0.000192588
34,2,1.49419,True,44,6026,11533,8.35854,1.08292e-05,4.49541,5.82417e-06,0.680555,8.81713e-07,17359.6,0.0224907
34,3,600.001,False,0,1145087,2321270,4.31366,1.11499e-05,2.17234,5.61507e-06,0.360621,9.32133e-07,48.6321,0.000125704
34,4,0.0262998,True,67,85,184,8.08219,1.15522e-05,3.88596,5.55435e-06,0.783656,1.12011e-06,1.10949e+06,1.58584
34,5,633.847,False,0,697687,1214897,2.354,1.22815e-05,1.05477,5.50306e-06,0.273073,1.4247e-06,48.0571,0.000250728
