group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.436209,True,39,1191,3577,19.6265,2.39341e-05,0,0,0.641435,7.8222e-07,27.9026,3.40268e-05
38,7,35.8664,True,65,133163,288377,22.118,2.75089e-05,0,0,0.976421,1.21441e-06,37.5081,4.66502e-05
46,1,26.1381,True,59,92266,199104,23.9011,3.1377e-05,0,0,1.28915,1.69238e-06,84.688,0.000111177
43,3,33.0208,True,57,123554,280783,23.3806,2.74962e-05,0,0,0.968806,1.13934e-06,102.834,0.000120936
