group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
1,2,600.065,False,0,2168461,4988530,12.1885,1.46614e-05,5.8348,7.01862e-06,1.05192,1.26534e-06,8.43555,1.0147e-05
1,7,88.5751,True,60,668752,1370901,21.7355,1.40435e-05,9.22299,5.95905e-06,2.14079,1.38318e-06,68.8521,4.4486e-05
2,3,4.92251,True,43,34661,83093,22.5592,1.33643e-05,10.1655,6.02212e-06,2.09249,1.23961e-06,1249.9,0.000740452
2,7,0.0535673,True,47,407,894,19.5438,1.17104e-05,10.5682,6.33233e-06,1.70328,1.02058e-06,114873,0.0688306
3,1,0.0120815,True,72,65,214,17.6642,9.97243e-06,10.3042,5.81729e-06,1.86566,1.05327e-06,509338,0.28755
3,10,600.033,False,0,2027463,3297297,14.0669,2.55986e-05,3.22082,5.86116e-06,1.08592,1.97613e-06,13.4802,2.45309e-05
