group,exam,time,finished,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
8,9,0.536407,True,1191,3577,63.2976,9.49212e-05,28.7377,4.30951e-05,0.57941,8.68885e-07
38,7,46.2611,True,133163,288377,65.4444,0.000104985,29.7338,4.76986e-05,0.721532,1.15747e-06
46,1,33.6818,True,92266,199104,66.5142,0.00011252,36.6978,6.20805e-05,0.853999,1.44468e-06
43,3,42.5392,True,123554,280783,67.596,0.000102409,33.6342,5.09565e-05,0.648874,9.83058e-07
16,9,0.433841,True,1142,2371,51.4533,9.41483e-05,27.4837,5.02891e-05,0.751474,1.37503e-06
44,8,33.6859,True,98880,213671,64.7082,0.000102015,32.6553,5.14822e-05,0.933297,1.47137e-06
11,4,60.0482,False,174080,438219,64.3681,8.82022e-05,32.6633,4.47578e-05,0.942585,1.2916e-06
