group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
16,1,769.251,False,0,1229896,3058410,3.91584,9.84913e-06,2.8547,7.18014e-06,0.374151,9.41064e-07,2.97741,7.48879e-06
16,2,1168.43,False,0,1422393,2548997,2.49986,1.1459e-05,1.64265,7.52967e-06,0.326005,1.49436e-06,3.57106,1.63693e-05
16,3,0.0188025,True,36,63,182,9.21207,9.51703e-06,7.33147,7.57418e-06,0.915304,9.45604e-07,221918,0.229265
16,4,0.0218135,True,47,63,201,9.58397,1.0401e-05,7.93087,8.60697e-06,0.981044,1.06468e-06,191291,0.207598
16,5,0.0227258,True,51,63,219,9.79107,1.01603e-05,8.79661,9.12831e-06,0.955742,9.91781e-07,183617,0.19054
16,6,0.0298451,True,51,70,249,9.51278,1.1402e-05,8.69054,1.04165e-05,1.06785,1.27992e-06,139821,0.167589
16,7,0.022163,True,34,70,188,8.82732,1.04064e-05,6.40572,7.5516e-06,0.871723,1.02766e-06,188291,0.221973
16,8,0.0268571,True,44,71,233,9.36661,1.07966e-05,8.27044,9.53305e-06,0.916704,1.05665e-06,155387,0.179109
16,9,0.239569,True,44,1140,2369,10.7237,1.08444e-05,8.04125,8.13183e-06,1.21735,1.23107e-06,17427.6,0.017624
16,10,0.0230526,True,51,64,243,10.1611,9.63951e-06,8.71138,8.2642e-06,0.998586,9.47325e-07,181117,0.17182
17,1,1130.62,False,0,1172952,2864544,2.50712,9.89546e-06,1.46851,5.79612e-06,0.182777,7.21409e-07,6.91199,2.72812e-05
17,2,600.011,False,0,1075114,2593531,4.8421,1.12022e-05,2.5204,5.83091e-06,0.487769,1.12845e-06,16.6833,3.85967e-05
17,3,0.0931207,True,60,406,817,10.7306,1.22306e-05,4.49331,5.12142e-06,1.31174,1.4951e-06,107502,0.122529
17,4,1281.16,False,0,1255200,2909500,2.33101,1.02643e-05,1.28578,5.66177e-06,0.206606,9.09763e-07,10.3981,4.57866e-05
17,5,1414.25,False,0,1225968,2675153,1.88747,9.97833e-06,1.13007,5.97425e-06,0.156552,8.27634e-07,11.9576,6.32152e-05
17,6,600.007,False,0,973199,1926661,3.69458,1.15058e-05,1.81134,5.64094e-06,0.405744,1.26358e-06,31.2495,9.73183e-05
17,7,600.017,False,0,1084538,2390076,4.09453,1.02791e-05,2.40339,6.03358e-06,0.331181,8.31412e-07,36.7918,9.23641e-05
17,8,1229.28,False,0,1262414,2586616,2.07939,9.88219e-06,1.20862,5.7439e-06,0.171467,8.14888e-07,21.1346,0.000100442
17,9,599.999,False,0,1242108,2379000,4.04429,1.02e-05,2.21741,5.59246e-06,0.350865,8.84905e-07,49.9724,0.000126034
17,10,37.5266,True,66,156893,316705,8.38759,9.93852e-06,4.48426,5.31343e-06,0.723506,8.57288e-07,808.907,0.000958481
18,1,600.004,False,0,992375,2669539,4.48346,1.0077e-05,2.50883,5.63882e-06,0.338771,7.61418e-07,55.2242,0.000124122
18,2,600.001,False,0,1127140,2357598,4.20207,1.06941e-05,2.28484,5.81485e-06,0.418728,1.06565e-06,60.1455,0.000153068
18,3,600.016,False,0,1168304,2391461,3.99532,1.00242e-05,2.18892,5.49199e-06,0.339175,8.50987e-07,65.8128,0.000165124
18,4,600.004,False,0,1154544,2484272,4.35282,1.0513e-05,2.393,5.77959e-06,0.415184,1.00276e-06,70.7694,0.000170923
18,5,600.345,False,0,975207,2026995,3.72132,1.10216e-05,1.93809,5.74014e-06,0.383404,1.13555e-06,74.2991,0.000220056
18,6,600.005,False,0,1213210,2253795,4.19648,1.11719e-05,2.08273,5.54465e-06,0.460805,1.22675e-06,78.9288,0.000210124
18,7,600.006,False,0,1240961,2293905,4.3137,1.12831e-05,1.96983,5.1524e-06,0.445328,1.16483e-06,83.7551,0.000219074
18,8,600.003,False,0,1159252,1981141,3.93052,1.19039e-05,1.73354,5.25015e-06,0.505009,1.52946e-06,86.0244,0.000260531
18,9,0.085064,True,47,351,714,8.87649,1.05752e-05,4.57726,5.45322e-06,0.589791,7.02661e-07,606788,0.722911
18,10,600.003,False,0,1063717,2618962,4.32514,9.90888e-06,2.45114,5.61554e-06,0.309003,7.07925e-07,91.8748,0.000210485
19,1,600.01,False,0,1105370,2390701,4.61566,1.15842e-05,2.21383,5.5562e-06,0.510692,1.28172e-06,94.4964,0.000237164
19,2,0.0226332,True,58,63,200,12.7861,1.44695e-05,5.02934,5.6915e-06,1.06437,1.2045e-06,2.50512e+06,2.83495
19,3,0.718406,True,83,2724,6112,9.19023,1.08022e-05,4.41501,5.18941e-06,0.976174,1.1474e-06,78930.1,0.0927747
19,4,0.928009,True,39,4398,8215,10.1045,1.14146e-05,4.46256,5.04114e-06,1.18577,1.33951e-06,61109.2,0.0690321
19,5,231.755,True,48,536265,1207655,5.27002,1.01134e-05,2.71428,5.20883e-06,0.458568,8.80013e-07,250.6,0.000480913
19,6,600.003,False,0,1121925,2204500,4.21954,1.14844e-05,2.0185,5.49379e-06,0.492191,1.33961e-06,100.231,0.0002728
19,7,600.002,False,0,1144921,1888093,3.80531,1.20926e-05,1.58006,5.02114e-06,0.506191,1.60858e-06,101.754,0.000323357
19,8,13.4336,True,55,49965,118967,9.06428,1.02353e-05,5.09769,5.75623e-06,0.755922,8.53575e-07,4553.68,0.00514195
19,9,0.536547,True,38,2251,6064,10.7967,9.55297e-06,6.10428,5.4011e-06,0.714308,6.32025e-07,114023,0.100888
19,10,600.006,False,0,1127458,2275261,4.32204,1.13976e-05,1.98662,5.23889e-06,0.487315,1.28509e-06,105.479,0.000278158
20,1,0.023119,True,57,63,191,10.2972,1.24639e-05,4.71084,5.70209e-06,0.767334,9.28796e-07,2.7375e+06,3.31352
20,2,0.0336837,True,70,121,272,8.67215,1.07393e-05,4.50455,5.57831e-06,0.885592,1.09669e-06,1.87891e+06,2.32678
20,3,0.0627283,True,49,227,604,10.1324,1.0523e-05,5.47855,5.68974e-06,0.874406,9.08113e-07,1.00894e+06,1.04783
20,4,0.052806,True,43,224,477,9.58755,1.06138e-05,5.25243,5.81468e-06,0.956899,1.05933e-06,1.19853e+06,1.32683
20,5,0.126528,True,61,504,1345,10.3399,9.72706e-06,6.32264,5.94788e-06,0.735332,6.91747e-07,500214,0.470565
20,6,0.0290084,True,51,94,247,9.73856,1.14372e-05,4.66692,5.48097e-06,1.20586,1.41619e-06,2.18182e+06,2.56239
20,7,0.0209551,True,42,75,181,9.36717,1.08448e-05,4.89666,5.66906e-06,0.882363,1.02155e-06,3.02033e+06,3.49676
20,8,0.021458,True,51,63,165,8.94771,1.16364e-05,4.69149,6.10121e-06,0.86681,1.12727e-06,2.94955e+06,3.83584
20,9,0.0223285,True,41,63,194,9.68045,1.11418e-05,4.79611,5.5201e-06,0.916318,1.05464e-06,2.83456e+06,3.26245
20,10,0.0201362,True,37,63,161,8.53885,1.06795e-05,4.33846,5.42609e-06,0.827862,1.0354e-06,3.14318e+06,3.93116
21,1,600.002,False,0,1086818,2362158,4.04527,1.02752e-05,2.46633,6.26462e-06,0.327588,8.32092e-07,110.478,0.000280621
21,2,600.002,False,0,1170635,2719038,4.58407,1.01155e-05,2.66244,5.87511e-06,0.384825,8.49181e-07,115.776,0.000255479
21,3,600.005,False,0,1131314,2398774,4.18254,1.04618e-05,2.51154,6.2821e-06,0.357068,8.93135e-07,121.379,0.000303605
21,4,600.004,False,0,1009274,2142902,3.84023,1.07525e-05,2.34519,6.56642e-06,0.315444,8.83231e-07,126.14,0.000353186
21,5,733.806,False,0,612231,1253413,2.33975,1.3698e-05,1.37493,8.04948e-06,0.190136,1.11314e-06,106.746,0.000624939
21,6,823.859,False,0,591724,1565632,2.64015,1.38929e-05,1.6017,8.42839e-06,0.191492,1.00766e-06,98.1301,0.000516375
21,7,925.938,False,0,597048,1268574,1.96345,1.43313e-05,1.20949,8.82813e-06,0.150375,1.09759e-06,90.3557,0.00065951
21,8,600.002,False,0,1030544,2456075,4.24966,1.03816e-05,2.77819,6.78692e-06,0.348533,8.51443e-07,144.331,0.000352591
21,9,600.002,False,0,1085269,2287512,3.84596,1.00877e-05,2.41504,6.33451e-06,0.308228,8.08464e-07,149.984,0.0003934
21,10,600.002,False,0,1112912,2100003,3.86298,1.10371e-05,2.26625,6.47502e-06,0.377377,1.07822e-06,154.744,0.000442127
22,1,31.9048,True,42,91261,190968,6.7166,1.12213e-05,3.34071,5.58128e-06,0.714115,1.19307e-06,2915.4,0.00487072
22,2,600.005,False,0,1038011,2460608,4.09585,9.98749e-06,2.52701,6.16197e-06,0.315101,7.68356e-07,160.065,0.000390309
22,3,600.002,False,0,985658,1970671,3.82391,1.16425e-05,1.89956,5.78351e-06,0.440175,1.34018e-06,162.868,0.000495878
22,4,600.001,False,0,782329,1862744,3.43526,1.10652e-05,1.98186,6.38371e-06,0.3311,1.06649e-06,165.819,0.000534112
22,5,600.013,False,0,951290,2255213,3.85737,1.02628e-05,2.3508,6.25444e-06,0.311573,8.28959e-07,170.118,0.000452608
22,6,600.002,False,0,1025456,2447686,4.09201,1.00307e-05,2.43845,5.97739e-06,0.336147,8.23998e-07,174.996,0.000428967
22,7,600.004,False,0,964252,1973685,3.62502,1.10201e-05,2.14356,6.51645e-06,0.34512,1.04917e-06,178.973,0.00054408
22,8,600.002,False,0,899225,1994367,3.7018,1.11368e-05,2.30832,6.94455e-06,0.381766,1.14854e-06,182.086,0.000547802
22,9,0.0557275,True,76,197,481,8.39029,9.72079e-06,4.83316,5.59958e-06,0.679018,7.86694e-07,1.96047e+06,2.27136
22,10,600.001,False,0,768349,2094847,3.69321,1.0578e-05,2.00698,5.74834e-06,0.331546,9.49607e-07,185.098,0.000530153
23,1,1.00739,True,63,4038,8670,9.66421,1.12291e-05,5.0117,5.82324e-06,1.03749,1.20549e-06,110250,0.128103
23,2,0.124875,True,53,512,1167,10.045,1.07487e-05,5.64298,6.0383e-06,1.04408,1.11722e-06,889416,0.951724
23,3,0.692395,True,46,2613,5827,8.09499,9.61889e-06,4.86194,5.77721e-06,0.586833,6.97306e-07,160419,0.190618
23,4,2.99037,True,65,9991,28277,8.88486,9.39598e-06,5.71385,6.04256e-06,0.556734,5.88761e-07,37152.8,0.0392901
23,5,600.002,False,0,1079870,2237380,3.73335,1.00118e-05,2.05808,5.51919e-06,0.293974,7.88355e-07,190.647,0.000511262
23,6,647.115,False,0,688491,1393041,2.57643,1.19684e-05,1.18932,5.5248e-06,0.308248,1.43192e-06,178.081,0.000827246
23,7,600.002,False,0,862663,1742996,3.157,1.08675e-05,1.7455,6.00863e-06,0.316754,1.09038e-06,195.411,0.000672676
23,8,625.97,False,0,627272,1311090,2.40183,1.14673e-05,1.28988,6.15841e-06,0.266807,1.27385e-06,189.405,0.000904298
23,9,600.01,False,0,956530,2091609,3.42342,9.82059e-06,2.13678,6.12968e-06,0.259059,7.43149e-07,202.517,0.000580949
23,10,0.778423,True,61,2887,5669,8.00934,1.09978e-05,3.93855,5.40811e-06,0.908876,1.248e-06,156106,0.214352
24,1,0.0410008,True,53,146,347,8.60105,1.01628e-05,4.85966,5.74207e-06,0.718279,8.48703e-07,2.96376e+06,3.50192
24,2,600.005,False,0,661291,1416963,2.57938,1.09222e-05,1.4031,5.94136e-06,0.252357,1.06859e-06,205.246,0.000869101
24,3,14.1229,True,69,45890,99500,7.11056,1.00926e-05,4.51524,6.40887e-06,0.585494,8.31043e-07,8727.82,0.0123882
24,4,0.0212665,True,53,63,190,8.85195,9.90789e-06,5.17292,5.79e-06,0.833706,9.33158e-07,5.79608e+06,6.48749
24,5,0.474463,True,51,1766,4299,9.19844,1.01519e-05,5.94183,6.55776e-06,0.758057,8.36636e-07,259802,0.286733
24,6,0.534127,True,56,2209,4454,9.9176,1.18933e-05,4.64303,5.56796e-06,1.20791,1.44854e-06,230786,0.27676
24,7,600.004,False,0,816514,1716130,3.08603,1.07896e-05,1.73343,6.06053e-06,0.286199,1.00063e-06,208.881,0.000730303
24,8,0.0207925,True,38,63,167,8.90032,1.10814e-05,5.56114,6.92395e-06,0.932067,1.16048e-06,6.02764e+06,7.50477
24,9,0.0172265,True,43,63,131,8.01788,1.05435e-05,4.20515,5.52977e-06,0.774969,1.01908e-06,7.27541e+06,9.56716
24,10,0.0304661,True,53,114,251,8.94404,1.08562e-05,4.46595,5.42072e-06,0.991266,1.20319e-06,4.11375e+06,4.99323
25,1,600.004,False,0,834051,1909022,3.28883,1.03368e-05,2.19093,6.88607e-06,0.285129,8.96157e-07,212.45,0.000667728
25,2,600.003,False,0,841538,1748981,2.92727,1.00423e-05,1.88499,6.46661e-06,0.232842,7.98786e-07,216.252,0.000741871
25,3,600.003,False,0,932138,2062785,3.32687,9.67688e-06,2.2379,6.50939e-06,0.240127,6.98458e-07,220.982,0.000642772
25,4,600.002,False,0,892789,1899972,3.17875,1.00383e-05,2.19832,6.94221e-06,0.260795,8.23578e-07,225.105,0.00071087
25,5,600.003,False,0,849981,1902369,3.15561,9.95272e-06,2.06716,6.51978e-06,0.244901,7.72413e-07,228.892,0.00072192
25,6,600.002,False,0,818655,1933514,3.21993,9.99198e-06,2.2171,6.88002e-06,0.256764,7.96781e-07,232.703,0.000722116
25,7,600.002,False,0,624238,1346825,2.349,1.04646e-05,1.64825,7.34284e-06,0.209556,9.33559e-07,235.336,0.00104841
25,8,600.002,False,0,878931,1966131,3.21833,9.82134e-06,2.25882,6.89323e-06,0.233086,7.11307e-07,239.83,0.000731886
25,9,623.052,False,0,651977,1200719,2.03706,1.05703e-05,1.31136,6.80462e-06,0.192084,9.9672e-07,233.748,0.00121291
25,10,600.002,False,0,650890,1407417,2.43109,1.03641e-05,1.65894,7.0723e-06,0.21244,9.0566e-07,245.677,0.00104736
