group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
16,9,0.254251,False,0,1140,2369,10.8589,1.16543e-05,8.27905,8.88544e-06,1.22442,1.3141e-06,8.07461,8.66602e-06
1,7,60.001,False,0,278808,573609,10.3848,1.08627e-05,5.6351,5.89446e-06,1.3109,1.37123e-06,6.84448,7.1595e-06
2,3,7.57576,False,0,34661,83093,11.7705,1.07314e-05,6.56149,5.98225e-06,1.36662,1.24597e-06,61.3314,5.59171e-05
2,7,0.0826751,False,0,407,894,10.6245,9.82528e-06,6.78342,6.27315e-06,1.09864,1.016e-06,5629.88,0.00520639
3,1,0.0203197,False,0,65,214,10.2689,9.75047e-06,5.89674,5.59907e-06,1.09057,1.03551e-06,22911.7,0.0217551
3,10,60.0004,False,0,320818,521284,10.3785,1.19458e-05,4.75686,5.4752e-06,1.52046,1.75007e-06,11.7582,1.35338e-05
4,6,0.0206991,False,0,78,180,10.071,1.15811e-05,5.70266,6.55778e-06,1.00729,1.15833e-06,34091,0.0392029
4,9,60.0005,False,0,289314,547139,10.5123,1.1528e-05,5.52175,6.05527e-06,1.38584,1.51975e-06,18.0121,1.97525e-05
5,1,60.0003,False,0,231160,480124,10.2997,1.28713e-05,7.13799,8.92023e-06,0.899179,1.12369e-06,30.9878,3.8725e-05
5,10,60.0003,False,0,289400,633058,10.1454,9.61562e-06,7.62706,7.22881e-06,0.928744,8.8025e-07,42.0254,3.9831e-05
6,2,60.0004,False,0,263164,661242,10.6665,9.67867e-06,7.29373,6.61825e-06,1.002,9.09203e-07,51.6676,4.68826e-05
6,9,60.0003,False,0,253731,704517,11.0958,9.44974e-06,8.24991,7.02605e-06,0.900683,7.67069e-07,61.8009,5.26328e-05
7,5,60.0009,False,0,284655,598717,10.1618,1.01837e-05,6.19101,6.20437e-06,1.08071,1.08304e-06,71.8574,7.20125e-05
7,8,60.0009,False,0,245709,628737,10.7239,1.02339e-05,7.94052,7.5777e-06,0.98242,9.37531e-07,81.2954,7.75809e-05
8,1,0.0186073,False,0,63,185,10.1482,1.0207e-05,6.18736,6.22324e-06,0.992621,9.98378e-07,262150,0.263671
8,6,0.0293155,False,0,94,286,9.61676,9.85734e-06,6.31202,6.46993e-06,1.052,1.07832e-06,166399,0.170562
9,3,60.0005,False,0,300018,611831,9.73853,9.5503e-06,7.8832,7.73083e-06,0.872757,8.55888e-07,93.2188,9.1417e-05
9,9,70.1576,False,0,292971,642491,8.41333,9.18703e-06,6.49217,7.0892e-06,0.681196,7.4384e-07,89.8326,9.80937e-05
10,1,60.0005,False,0,224371,664843,11.1846,1.00939e-05,8.09434,7.30494e-06,1.02813,9.27864e-07,112.705,0.000101714
10,4,60.0004,False,0,259122,586450,10.2618,1.0499e-05,6.52141,6.67213e-06,1.17304,1.20015e-06,119.659,0.000122425
11,2,60.0003,False,0,268671,551077,9.98576,1.08723e-05,6.43423,7.00548e-06,1.18817,1.29366e-06,127.118,0.000138404
11,7,60.0004,False,0,256395,597856,10.3043,1.03413e-05,7.60704,7.63437e-06,1.06072,1.06453e-06,135.908,0.000136396
12,3,0.459284,False,0,2240,5137,11.2522,1.00602e-05,7.67069,6.85813e-06,1.15482,1.03249e-06,17764.8,0.0158829
12,10,0.0313311,False,0,88,307,9.95241,1.0157e-05,7.89695,8.05928e-06,1.02614,1.04723e-06,260419,0.265773
