group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.877059,True,39,2675,11397,26.9003,2.07012e-05,0,0,0.937109,7.21155e-07,25.4981,1.96221e-05
38,7,34.8793,True,65,133176,288398,22.0837,2.67083e-05,0,0,0.981066,1.18652e-06,38.5352,4.66051e-05
46,1,28.5346,True,59,107406,228465,23.7376,2.96476e-05,0,0,1.34832,1.68401e-06,81.0162,0.000101187
43,3,34.7718,True,57,131140,297886,23.2166,2.71005e-05,0,0,0.960437,1.12111e-06,103.032,0.000120268
16,9,0.106535,True,44,105,249,5.1968,2.22345e-05,0,0,0.282255,1.20763e-06,33636.5,0.143914
