group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.189609,True,39,1191,3577,18.037,9.56106e-06,13.1989,6.99645e-06,1.07273,5.68633e-07,18.322,9.71211e-06
47,1,60.0019,True,0,357470,873113,19.9353,1.36999e-05,11.0179,7.5717e-06,1.62659,1.11782e-06,13.0702,8.98206e-06
16,9,0.145885,True,44,1142,2371,19.6397,1.20841e-05,13.1921,8.11695e-06,1.90705,1.17339e-06,5388.64,0.00331557
