group,exam,time,finished,makespan,expand number,generated number,depth
15,9,0.0433997,True,54,87,240,56
16,1,509.119,True,51,1059031,2689194,56
16,3,0.0262809,True,36,51,151,51
16,4,0.0295952,True,47,58,184,58
16,5,0.0315884,True,51,58,203,58
16,6,0.033678,True,51,64,227,57
16,8,0.0376176,True,44,62,204,54
16,9,0.337014,True,44,994,2109,56
17,4,1037.84,False,0,1145243,2914432,0
17,10,40.2041,True,66,110472,232475,56
18,7,600.001,False,0,1163667,2221605,0
19,2,0.0246862,True,58,54,172,54
19,4,0.969404,True,39,3383,6520,53
19,6,600.008,False,0,1151262,2298038,0
19,7,600.013,False,0,1266872,2074869,0
19,8,15.5175,True,55,41181,98921,58
19,9,0.6598,True,38,1916,5251,51
20,1,0.0245995,True,57,56,176,56
20,2,0.0387257,True,70,113,257,59
20,3,0.141067,True,49,389,923,55
20,4,0.0655254,True,43,201,435,55
20,5,0.175229,True,61,423,1143,55
20,6,0.0301247,True,51,76,208,54
20,7,0.0286892,True,42,66,163,54
20,8,0.0238297,True,51,56,146,56
20,9,0.0292393,True,41,56,176,56
20,10,0.0200267,True,37,50,130,50
22,1,23.574,True,42,69942,156339,53
22,8,600.008,False,0,991357,2359275,0
23,1,0.104374,True,63,239,670,58
23,2,0.12893,True,53,316,759,55
23,5,600,False,0,1148540,2345027,0
23,6,600.006,False,0,1092503,2070025,0
23,8,450.937,True,48,725511,1651047,55
24,1,0.0518083,True,53,128,309,58
24,2,600.004,False,0,1070933,2342073,0
24,3,26.6951,True,69,70349,147300,56
24,6,0.544989,True,56,1842,3737,58
24,8,0.0220677,True,38,54,142,54
24,9,0.0229856,True,43,56,122,56
24,10,0.0350212,True,53,107,235,57
26,2,0.291213,True,40,632,1726,50
26,3,49.2123,True,58,133360,293986,55
26,5,600.003,False,0,980177,2286843,0
26,6,214.35,True,53,407781,870328,57
26,8,286.108,True,66,545987,1172593,58
27,1,0.32931,True,43,1020,2113,54
27,2,0.037768,True,58,90,237,58
27,3,0.0336539,True,60,65,193,54
27,4,1.14125,True,64,2889,6374,56
27,5,0.296359,True,49,740,1669,56
27,6,0.0824647,True,59,189,519,57
27,8,0.0457265,True,66,99,263,59
27,9,0.082807,True,55,185,388,54
27,10,0.0330375,True,62,65,217,57
28,1,0.206473,True,69,579,1215,58
28,2,0.0284892,True,57,60,190,58
28,3,600.002,False,0,998010,2240276,0
28,4,0.0290445,True,49,59,171,53
28,5,0.0296528,True,73,61,169,61
28,6,34.9325,True,55,76625,191130,55
28,7,0.0261329,True,48,54,148,54
28,8,0.0307102,True,53,70,199,59
28,9,18.5133,True,62,43769,93845,57
31,2,0.0340425,True,63,65,233,58
31,3,0.133773,True,58,327,763,53
31,4,0.0285139,True,50,66,168,56
31,5,600.001,False,0,1018563,2017208,0
31,7,0.0497073,True,61,78,184,57
31,8,475.344,True,58,672827,1640008,55
32,1,0.0378974,True,61,78,230,53
32,2,0.0384689,True,60,73,223,54
32,3,0.0692762,True,57,146,397,56
32,4,44.9185,True,68,90924,224892,56
32,5,0.0745798,True,54,180,437,55
32,6,0.0231274,True,44,54,130,53
32,7,0.031833,True,35,68,169,55
32,8,0.0276684,True,54,59,152,59
32,9,0.0342455,True,65,66,202,58
32,10,0.0334045,True,51,62,167,57
33,1,2.80307,True,65,8237,16212,58
33,2,600.003,False,0,922647,2054090,0
33,9,600.001,False,0,945956,1941614,0
34,2,1.89788,True,44,5401,10498,59
34,3,600.001,False,0,1064374,2161163,0
34,4,0.024939,True,67,64,150,59
34,10,0.0247606,True,47,59,156,53
35,1,11.4622,True,57,31928,79879,52
35,2,0.153211,True,53,495,1001,57
35,3,0.107264,True,60,273,640,58
35,4,0.133001,True,51,371,871,58
35,5,0.0277464,True,60,62,170,60
35,6,0.0282312,True,58,71,171,55
35,7,0.0631181,True,61,165,356,58
36,1,0.0293842,True,66,61,159,61
36,2,0.0348973,True,44,96,228,55
36,3,8.98967,True,61,29390,58616,56
36,4,2.14895,True,59,7201,13839,56
36,5,0.0281098,True,64,60,170,60
36,6,0.0252068,True,46,54,149,54
36,7,0.0296728,True,56,57,157,57
36,8,1.5955,True,63,4874,10277,57
36,9,0.0278963,True,59,67,183,57
36,10,0.0272018,True,59,58,147,56
38,2,600.002,False,0,983304,1901625,0
38,3,600.001,False,0,906741,2074102,0
38,6,600,False,0,871595,1766322,0
39,1,0.0419495,True,55,98,274,54
39,2,1.94247,True,54,4715,10100,56
39,3,1.75825,True,54,4030,11299,56
39,5,0.0260572,True,55,60,145,54
39,7,600,False,0,861639,1633300,0
39,8,0.0994025,True,67,222,522,59
39,9,600.001,False,0,764952,2130527,0
40,1,0.565452,True,51,1700,3381,55
40,2,1.20937,True,56,3105,6327,57
40,3,7.69406,True,57,22278,43858,57
40,4,0.32887,True,57,1002,1980,55
40,5,0.0352979,True,65,92,224,57
40,6,0.0299847,True,60,66,146,56
40,7,0.0285813,True,46,63,147,56
40,8,5.4769,True,57,12773,27285,55
40,9,1.16956,True,64,3416,6865,55
40,10,0.0379755,True,51,97,242,53
42,1,1.32296,True,58,3188,6162,55
42,5,140.491,True,52,256504,553426,57
42,6,600.001,False,0,843091,1840274,0
43,2,1.53157,True,43,3770,9810,56
43,4,3.01122,True,67,7466,16040,58
43,5,600.001,False,0,725873,1620535,0
43,6,131.816,True,58,256667,478594,58
43,9,600.001,False,0,614425,1309935,0
43,10,600,False,0,709702,1428280,0
44,1,6.57524,True,50,18153,36987,55
44,2,0.0382323,True,54,88,187,58
44,4,0.0234004,True,57,60,120,58
44,7,2.49918,True,42,7148,13749,54
44,8,45.247,True,49,92746,204251,54
44,9,0.0282996,True,64,58,157,57
44,10,0.0332174,True,63,71,180,55
46,3,600.009,False,0,629047,1329335,0
46,4,59.3203,True,64,130883,265482,57
46,7,600,False,0,708668,1529700,0
46,9,600.001,False,0,656543,1403266,0
47,2,0.0708899,True,59,144,379,57
47,3,652.617,False,0,584183,1315691,0
47,5,604.167,False,0,606619,1193881,0
47,9,0.775485,True,65,2113,4407,55
48,1,0.0317721,True,63,59,191,59
48,2,0.0365615,True,54,64,195,59
48,3,0.0300315,True,50,59,154,57
48,4,0.397774,True,57,804,2229,58
48,5,21.7977,True,58,50075,103186,55
48,6,0.0299054,True,58,58,159,58
48,7,1.95404,True,55,4893,9836,57
48,8,0.0379001,True,44,59,137,58
48,9,2.77655,True,59,6021,13576,55
48,10,0.030928,True,54,56,139,56
