group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.19284,True,39,1191,3577,18.2683,9.84864e-06,13.3208,7.18138e-06,1.06166,5.72351e-07,18.5677,1.00101e-05
47,1,60.0019,True,0,356754,871246,20.0669,1.38199e-05,10.9387,7.53335e-06,1.61794,1.11426e-06,13.2238,9.1071e-06
16,9,0.148521,True,44,1142,2371,19.6872,1.23321e-05,12.9224,8.09469e-06,1.94451,1.21805e-06,5355.5,0.00335471
8,9,0.185785,True,39,1191,3577,18.784,9.75619e-06,13.238,6.87568e-06,1.05869,5.49874e-07,4299.52,0.00223312
47,1,60.0026,True,0,353593,863158,20.5171,1.42625e-05,10.7213,7.45289e-06,1.58008,1.0984e-06,26.2749,1.8265e-05
16,9,0.143979,True,44,1142,2371,19.3741,1.17649e-05,13.1841,8.00603e-06,1.90265,1.15538e-06,10963.3,0.00665747
8,9,0.181519,True,39,1191,3577,18.1623,9.21669e-06,13.5468,6.87448e-06,1.04683,5.31227e-07,8714.55,0.0044223
47,1,60.002,True,0,351876,859007,20.8514,1.45648e-05,10.676,7.45722e-06,1.57072,1.09715e-06,39.2871,2.74422e-05
16,9,0.148703,True,44,1142,2371,18.9732,1.18995e-05,13.271,8.32324e-06,1.9539,1.22543e-06,15865.6,0.00995047
