group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.320731,True,39,1191,3577,23.0964,2.07093e-05,8.87935,7.96164e-06,0.765346,6.86245e-07,24.6105,2.20669e-05
38,7,27.5584,True,65,133163,288377,25.1972,2.40794e-05,7.94297,7.59059e-06,1.12343,1.07359e-06,28.76,2.74841e-05
46,1,18.9099,True,59,92266,199104,28.7803,2.73341e-05,9.79789,9.30555e-06,1.5448,1.46717e-06,21.0793,2.002e-05
43,3,25.0485,True,57,123554,280783,26.0198,2.32121e-05,8.78308,7.83533e-06,1.09602,9.7775e-07,28.7246,2.56251e-05
16,9,0.214939,True,44,1142,2371,27.0844,2.45528e-05,10.6094,9.61771e-06,1.62265,1.47098e-06,18.2915,1.65818e-05
