group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.322215,True,39,1191,3577,23.0998,2.08082e-05,9.53459,8.58873e-06,0.740902,6.67403e-07,27.0348,2.43529e-05
38,7,27.4541,True,65,133163,288377,24.9068,2.37118e-05,8.05235,7.666e-06,1.1223,1.06845e-06,29.2421,2.7839e-05
46,1,19.2413,True,59,92266,199104,28.5065,2.75486e-05,9.95861,9.62395e-06,1.5453,1.49337e-06,21.3537,2.06361e-05
43,3,26.8963,True,57,123554,280783,25.7852,2.46997e-05,8.77244,8.40316e-06,1.08073,1.03523e-06,28.931,2.77131e-05
16,9,0.219771,True,44,1142,2371,25.9278,2.40328e-05,10.214,9.46748e-06,1.50985,1.39949e-06,17.6579,1.63674e-05
