group,exam,time,finished,makespan,expand number,generated number,depth
2,3,16.7459,True,43,27634,74286,58
2,7,0.0450003,True,47,63,194,54
3,7,0.0551664,True,48,53,218,53
3,8,0.0464399,True,54,61,193,56
4,1,0.0400042,True,49,54,163,54
4,2,0.3053,True,60,401,950,55
4,4,0.0494583,True,57,60,137,60
4,5,0.580093,True,62,749,1757,58
4,6,0.0459713,True,45,61,150,55
12,1,0.0749803,True,47,74,183,55
12,2,0.0885451,True,46,98,263,54
12,3,1.0749,True,37,1268,3131,52
12,4,0.077748,True,63,62,183,57
12,5,0.0521425,True,47,54,189,54
19,9,0.940625,True,38,1006,3232,51
20,1,0.0593761,True,57,56,176,56
20,2,0.0747632,True,76,92,236,60
20,3,0.212404,True,49,217,637,55
20,4,0.0598622,True,45,54,172,54
28,7,0.0697416,True,48,54,148,54
28,8,0.0753284,True,53,70,199,59
