group,exam,time,finished,makespan,expand number,generated number,depth
2,3,14.917,True,43,27478,67990,57
2,7,0.17756,True,47,313,710,53
3,7,0.0397167,True,48,53,218,53
3,8,0.0420618,True,54,69,207,55
4,1,0.0363477,True,49,54,163,54
4,2,0.303212,True,60,615,1260,55
4,4,0.04465,True,57,60,137,60
4,5,0.48368,True,59,1058,2295,57
4,6,0.0369201,True,45,70,165,55
12,1,0.0431358,True,47,74,183,55
12,2,0.0509638,True,46,91,234,52
12,3,0.90007,True,37,1727,4050,52
12,4,0.0490819,True,63,65,187,57
12,5,0.0391405,True,47,54,189,54
19,9,1.10683,True,38,1916,5251,51
20,1,0.0442902,True,57,56,176,56
20,2,0.0902763,True,70,113,257,59
20,3,0.258269,True,49,389,923,55
20,4,0.104263,True,43,201,435,55
28,7,0.0426982,True,48,54,148,54
28,8,0.0474287,True,53,70,199,59
