group,exam,time,finished,makespan,expand number,generated number
1,7,28.6547,True,60,84044,172794
2,3,11.0073,True,43,34661,83093
2,7,0.0497102,True,47,100,324
3,1,0.0351226,True,72,65,214
3,10,1163.04,False,0,1395302,3112680
4,6,0.0245704,True,45,78,180
4,9,1201.02,False,0,1324956,3181094
5,1,429.926,True,54,661189,1528960
5,10,43.8183,True,73,132862,275575
6,2,600.01,False,0,1151260,2756035
6,9,600.013,False,0,1142388,2881671
7,5,600.01,False,0,1089526,2583615
7,8,191.194,True,45,384973,933172
8,1,0.0292681,True,44,63,185
8,6,0.0457205,True,47,94,286
9,3,0.273043,True,76,556,1170
9,9,249.383,True,66,466952,1141118
10,1,600.008,False,0,1033042,3020024
10,4,600.007,False,0,1099614,2381668
11,2,0.748959,True,57,1726,3805
11,7,43.7954,True,38,100720,250732
12,3,0.781469,True,37,2240,5137
12,10,0.0462583,True,57,88,307
13,4,0.17545,True,75,317,676
13,6,0.603182,True,69,930,2102
14,2,2.28196,True,56,5566,12320
14,8,20.8933,True,54,49879,111308
15,5,3.37437,True,60,7461,17194
15,9,0.0513972,True,54,93,253
16,2,600.004,False,0,1254094,2177358
16,7,0.029902,True,34,70,188
17,8,600.003,False,0,1047760,2152836
17,10,2.54401,True,66,6723,14992
18,4,109.789,True,70,254881,559872
18,7,600.004,False,0,1221150,2257017
19,1,600.002,False,0,1018909,2209396
19,5,247.915,True,48,536265,1207655
20,1,0.0258044,True,57,63,191
20,5,0.183005,True,61,504,1345
21,1,600.001,False,0,904344,1943199
21,9,9.63412,True,69,18026,43961
22,4,600.001,False,0,716673,1754325
22,6,600.001,False,0,708473,1624468
23,2,0.174425,True,53,512,1167
23,5,600.005,False,0,1060323,2198739
24,3,21.1817,True,69,45890,99500
24,6,0.627658,True,56,2209,4454
25,2,2.03643,True,81,3612,6887
25,10,0.358494,True,62,650,1503
26,4,171.65,True,62,268537,585169
26,7,0.181861,True,56,381,808
27,6,0.103936,True,59,195,537
27,8,0.0575103,True,66,109,294
28,3,688.595,False,0,614207,1368016
28,9,16.8505,True,62,36991,76809
29,1,0.353427,True,89,447,927
29,6,0.465383,True,97,825,1710
30,2,17.9215,True,71,44454,89598
30,4,2.54299,True,55,4092,9979
31,2,0.0445257,True,63,70,247
31,9,326.627,True,50,478991,1005219
32,6,0.0291511,True,44,64,149
32,10,0.0348963,True,51,69,181
33,1,2.39412,True,69,6026,11369
33,7,0.319997,True,58,1001,2049
34,5,0.0563166,True,64,128,372
34,9,0.148698,True,60,458,870
35,1,17.2221,True,57,42163,102335
35,6,1.36653,True,58,3738,7774
36,1,0.0336856,True,66,63,163
36,5,0.0308298,True,64,63,178
37,5,1.02358,True,90,2323,4945
37,8,11.3847,True,72,29689,64252
38,1,2.09489,True,48,4445,9828
38,4,56.8853,True,59,97880,226518
39,2,0.0894926,True,54,225,486
39,7,5.9698,True,56,14330,32851
40,2,1.25033,True,56,3200,6481
40,7,0.0327676,True,46,70,166
41,4,13.6555,True,83,23120,46796
41,10,18.0612,True,104,29817,69354
42,1,2.00397,True,58,3708,7275
42,8,632.856,False,0,613733,1273607
43,3,0.73352,True,57,1327,2875
43,7,325.289,True,52,422128,853811
44,3,0.0336421,True,51,63,169
44,6,0.0294332,True,56,63,170
45,1,1.46698,True,89,2812,5297
45,5,15.7033,True,89,20033,38299
46,1,4.05524,True,59,7290,16304
46,8,0.972684,True,59,1344,3330
47,3,62.897,True,55,102922,218801
47,6,675.165,False,0,629015,1268522
48,2,0.0404676,True,54,68,204
48,9,0.96008,True,59,1814,4125
