group,exam,time,finished,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
36,4,2.50615,True,8461,15976,59.5686,9.3445e-05,23.1807,3.63635e-05,1.23962,1.94459e-06
46,1,36.0946,True,92266,199104,66.2796,0.000120155,36.3958,6.59802e-05,0.849286,1.53963e-06
43,3,43.7521,True,123554,280783,67.4428,0.000105091,33.6012,5.2358e-05,0.644226,1.00384e-06
47,1,60.0407,False,145359,356174,66.8131,0.000112628,36.8543,6.21257e-05,0.774707,1.30593e-06
44,8,35.0974,True,98880,213671,64.6216,0.000106147,32.4667,5.33295e-05,0.930465,1.52837e-06
38,7,44.1836,True,133163,288377,65.8952,0.000100961,29.4379,4.51032e-05,0.696687,1.06743e-06
