group,exam,time,finished,makespan,expand number,generated number,depth
1,1,300.011,False,0,50170,676214,0
1,2,359.566,False,0,57718,682746,0
1,3,372.03,False,0,63200,728969,0
1,4,364.832,False,0,64050,740015,0
1,5,435.016,False,0,81028,738120,0
1,6,400.327,False,0,55056,651317,0
1,7,360.12,False,0,56366,717266,0
1,8,299.969,False,0,79302,800061,0
1,9,391.581,False,0,56264,667822,0
1,10,396.106,False,0,66195,715647,0
2,1,12.6182,True,65,4741,41614,63
2,2,415.67,False,0,77846,810160,0
2,3,299.983,False,0,123994,927935,0
2,4,500.261,False,0,117738,888552,0
2,5,343.594,False,0,61079,770407,0
2,6,424.713,False,0,73962,751605,0
2,7,371.54,False,0,64190,749960,0
2,8,498.207,False,0,83276,827200,0
2,9,87.8484,True,65,23802,250028,63
2,10,362.7,False,0,66965,789998,0
3,1,8.45484,True,60,3937,29184,63
3,2,300.008,False,0,72143,687604,0
3,3,299.997,False,0,114966,729081,0
3,4,13.0888,True,81,3578,35300,63
3,5,28.1594,True,83,10713,80483,63
3,6,4.46205,True,57,1038,10981,63
3,7,299.998,False,0,65276,672089,0
3,8,299.997,False,0,61179,644176,0
3,9,300.001,False,0,70236,714218,0
3,10,300.001,False,0,69120,661701,0
4,1,15.9853,True,84,4423,44606,63
4,2,136.342,True,60,33715,295318,63
4,3,299.998,False,0,53003,679267,0
4,4,2.05272,True,65,788,5860,63
4,5,136.636,True,75,34007,344687,63
4,6,299.999,False,0,50911,679602,0
4,7,58.0339,True,67,13038,152052,63
4,8,62.7548,True,65,15135,170450,63
4,9,16.0458,True,75,4690,40730,63
4,10,26.2339,True,77,9932,74140,63
5,1,300.004,False,0,50960,604937,0
5,2,300.002,False,0,60601,636702,0
5,3,300.001,False,0,70457,642389,0
5,4,490.659,False,0,42127,559912,0
5,5,300.002,False,0,67555,599824,0
5,6,299.999,False,0,44846,561988,0
5,7,433.245,False,0,54660,615731,0
5,8,300.003,False,0,60466,606139,0
5,9,300.004,False,0,47363,585890,0
5,10,300.003,False,0,44338,550283,0
6,1,300.006,False,0,51828,622178,0
6,2,300.001,False,0,59447,597116,0
6,3,300.005,False,0,79469,639293,0
6,4,27.1845,True,67,6032,60468,63
6,5,300.006,False,0,59611,581665,0
6,6,300.003,False,0,39189,578053,0
6,7,300.001,False,0,58187,546037,0
6,8,300.004,False,0,81735,602235,0
6,9,300.003,False,0,49216,556372,0
6,10,300.002,False,0,65672,619333,0
7,1,300,False,0,96511,674323,0
7,2,300.003,False,0,61073,628723,0
7,3,300.001,False,0,72823,582521,0
7,4,300.002,False,0,74786,594412,0
7,5,300.001,False,0,103783,634194,0
7,6,300.001,False,0,105510,717321,0
7,7,300.003,False,0,76057,610487,0
7,8,300.007,False,0,60540,593257,0
7,9,300,False,0,51137,559611,0
7,10,300.004,False,0,56275,550257,0
8,1,61.8853,True,64,14113,137334,63
8,2,308.174,False,0,71105,619455,0
8,3,3.1739,True,79,1081,7387,63
8,4,300.004,False,0,53474,570617,0
8,5,108.092,True,83,20127,190868,63
8,6,300.001,False,0,79928,552524,0
8,7,37.5338,True,62,8607,88821,63
8,8,70.977,True,66,19837,167399,63
8,9,300.002,False,0,45552,589954,0
8,10,10.4074,True,97,3651,27972,63
9,1,300.002,False,0,39800,524361,0
9,2,300.002,False,0,52650,564740,0
9,3,426.039,False,0,40703,553352,0
9,4,400.799,False,0,45037,555162,0
9,5,300.002,False,0,35694,507520,0
9,6,300.004,False,0,50072,531469,0
9,7,300.005,False,0,42032,535100,0
9,8,300.004,False,0,49220,546182,0
9,9,300.002,False,0,37192,526720,0
9,10,300.001,False,0,54645,539047,0
10,1,300,False,0,57350,504614,0
10,2,300.002,False,0,74512,514893,0
10,3,300.005,False,0,51249,553714,0
10,4,300.001,False,0,67637,569331,0
10,5,42.9721,True,79,8127,82921,63
10,6,15.647,True,67,4109,35746,63
10,7,300,False,0,61554,570518,0
10,8,300.005,False,0,46557,537677,0
10,9,300.001,False,0,43514,526255,0
10,10,365.505,False,0,53918,587060,0
11,1,411.803,False,0,70606,644021,0
11,2,405.046,False,0,78114,638158,0
11,3,368.123,False,0,74461,660242,0
11,4,459.629,False,0,106943,648124,0
11,5,300.008,False,0,115624,684344,0
11,6,452.952,False,0,69426,614802,0
11,7,393.195,False,0,74653,691371,0
11,8,442.753,False,0,106629,626878,0
11,9,381.015,False,0,73659,645684,0
11,10,360.671,False,0,52757,626250,0
12,1,300.004,False,0,66063,768547,0
12,2,300.004,False,0,90715,759218,0
12,3,385.083,False,0,84988,725503,0
12,4,251.394,True,69,76355,611375,63
12,5,103.97,True,63,27271,261883,63
12,6,7.45847,True,54,2583,23630,63
12,7,300.004,False,0,92231,826589,0
12,8,300.003,False,0,107137,799780,0
12,9,300.002,False,0,73019,687038,0
12,10,5.222,True,79,2240,16587,63
13,1,323.465,False,0,41021,546334,0
13,2,330.748,False,0,35785,538478,0
13,3,346.726,False,0,39087,562024,0
13,4,334.651,False,0,38269,558114,0
13,5,317.838,False,0,46277,556561,0
13,6,331.12,False,0,49098,565794,0
13,7,348.304,False,0,36803,556552,0
13,8,337.047,False,0,46560,544001,0
13,9,342.701,False,0,49456,566531,0
13,10,324.908,False,0,46366,554491,0
14,1,414.93,False,0,55004,566190,0
14,2,300.002,False,0,60959,552074,0
14,3,300.002,False,0,57796,599971,0
14,4,367.901,False,0,46466,565846,0
14,5,398.443,False,0,54448,578355,0
14,6,429.657,False,0,64089,572068,0
14,7,393.835,False,0,46672,572543,0
14,8,374.569,False,0,78400,568019,0
14,9,384.564,False,0,48371,567414,0
14,10,436.444,False,0,65781,569393,0
15,1,300.003,False,0,66786,586155,0
15,2,300.003,False,0,85721,557283,0
15,3,300.006,False,0,41152,539534,0
15,4,300.001,False,0,75044,548326,0
15,5,300.006,False,0,61252,579298,0
15,6,300.006,False,0,67064,556715,0
15,7,300.001,False,0,56657,578323,0
15,8,300.006,False,0,58627,582755,0
15,9,300.002,False,0,47315,572273,0
