group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave)
10,1,60.0443,False,4672,224687,665868,35.459,3.1975e-05,11.4561,1.03305e-05,1.11373,1.0043e-06
10,2,60.0923,False,4672,366911,723949,35.9255,2.98204e-05,12.27,1.01849e-05,1.08136,8.97598e-07
10,3,60.0535,False,4672,292993,684019,33.1788,2.91294e-05,13.2097,1.15975e-05,1.25741,1.10394e-06
10,4,60.0703,False,4672,300950,680534,32.2948,2.85064e-05,13.3677,1.17996e-05,1.36435,1.20431e-06
10,5,60.0587,False,4672,190181,434774,34.1038,4.71102e-05,16.6693,2.30266e-05,0.907547,1.25367e-06
