group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.212194,True,39,1191,3577,16.7849,9.95711e-06,12.2958,7.2941e-06,0.988105,5.86162e-07,16.8145,9.97467e-06
38,7,19.4635,True,65,133163,288377,18.6396,1.25805e-05,9.36338,6.31965e-06,1.25493,8.46991e-07,19.5799,1.32151e-05
46,1,13.7741,True,59,92266,199104,19.8,1.36977e-05,11.2603,7.78991e-06,1.70202,1.17746e-06,13.3611,9.24322e-06
43,3,19.1433,True,57,123554,280783,18.7573,1.27884e-05,10.2702,7.00204e-06,1.2233,8.34028e-07,19.0726,1.30034e-05
16,9,0.218319,True,44,1142,2371,12.3329,1.13561e-05,8.86999,8.1674e-06,1.29466,1.19211e-06,8.54684,7.86984e-06
