group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
8,9,0.322795,True,39,1191,3577,23.3807,2.10992e-05,0,0,0.798247,7.20352e-07,35.4455,3.19866e-05
38,7,34.3448,True,65,133163,288377,21.8722,2.60491e-05,0,0,0.975961,1.16234e-06,38.2289,4.55294e-05
46,1,24.7176,True,59,92266,199104,24.0931,2.99102e-05,0,0,1.30947,1.62563e-06,86.8664,0.000107839
43,3,32.2583,True,57,123554,280783,23.0661,2.64999e-05,0,0,0.969804,1.11418e-06,103.25,0.000118621
16,9,0.329289,True,44,1142,2371,17.7824,2.46965e-05,0,0,1.03581,1.43855e-06,10138.9,0.0140811
