group,exam,time,finished,makespan,expand number,generated number,depth
1,1,600.012,False,0,879725,2184642,0
1,2,635.287,False,0,600720,1367971,0
1,3,600.006,False,0,834765,1819551,0
1,4,600.005,False,0,757276,2224806,0
1,5,621.905,False,0,583719,1393414,0
1,6,600.008,False,0,1022855,1697530,0
1,7,600.003,False,0,824047,1728550,0
1,8,31.9928,True,53,68500,218833,52
1,9,600.006,False,0,992722,2277482,0
1,10,600.002,False,0,653899,1398231,0
2,1,600.005,False,0,1035813,2102107,0
2,2,685.437,False,0,652365,1181011,0
2,3,9.71748,True,43,27478,67990,57
2,4,600.013,False,0,846271,1441085,0
2,5,5.23404,True,51,12456,29494,53
2,6,600.18,False,0,643559,1309796,0
2,7,0.1243,True,47,313,710,53
2,8,1139.67,False,0,1134612,3004540,0
2,9,1099.21,False,0,1162318,2734086,0
2,10,600.005,False,0,1019112,2687251,0
3,1,0.028656,True,72,58,191,56
3,2,0.0244598,True,40,54,179,54
3,3,0.263925,True,57,707,1859,56
3,4,0.123344,True,98,294,955,58
3,5,600.067,False,0,1144515,2583530,0
3,6,0.0320455,True,54,56,201,53
3,7,0.0355737,True,48,53,218,53
3,8,0.040218,True,54,69,207,55
3,9,701.102,False,0,576658,1395879,0
3,10,641.279,False,0,617860,1385912,0
4,1,0.0328816,True,49,54,163,54
4,2,0.286868,True,60,615,1260,55
4,3,0.724558,True,47,1648,4872,54
4,4,0.0236738,True,57,60,137,60
4,5,0.407839,True,59,1058,2295,57
4,6,0.0276334,True,45,70,165,55
4,7,316.788,True,56,418778,892108,56
4,8,0.030057,True,55,56,188,56
4,9,786.576,False,0,610631,1289918,0
4,10,5.48295,True,48,14405,31040,58
5,1,612.416,False,0,601467,1286614,0
5,2,784.44,False,0,594653,1288968,0
5,3,867.205,False,0,589032,1357751,0
5,4,893.248,False,0,583481,1366045,0
5,5,815.129,False,0,603091,1258097,0
5,6,600.003,False,0,972456,2255107,0
5,7,600.002,False,0,894294,2152753,0
5,8,600.001,False,0,825963,1985730,0
5,9,600.003,False,0,885187,2133227,0
5,10,600.009,False,0,853834,1911598,0
6,1,600.007,False,0,841522,1976969,0
