group,exam,time,finished,makespan,expand number,generated number,depth
16,4,0.0349884,True,47,58,184,58
5,1,870.187,False,0,1147773,2703050,0
6,2,1056.59,False,0,1101848,3003907,0
6,9,1155.14,False,0,1098400,3111912,0
7,5,600.032,False,0,1133431,2586160,0
7,8,1049.02,False,0,1089924,3285309,0
8,1,0.0413093,True,44,52,152,52
8,6,0.0311502,True,47,63,204,51
9,3,600.016,False,0,1106679,2431382,0
9,9,1124.34,False,0,1128060,2713175,0
10,1,600.007,False,0,901634,2881739,0
10,4,600.006,False,0,1005904,2241693,0
11,2,600.009,False,0,1092861,2336651,0
11,7,600.008,False,0,1035472,2613812,0
12,3,0.568933,True,37,1495,3602,52
12,10,0.0417752,True,57,84,291,58
13,4,600.003,False,0,1143211,2440150,0
13,6,600.003,False,0,1005205,2512826,0
14,2,600.007,False,0,1019923,2463701,0
14,8,201.974,True,54,333597,757303,57
15,5,600.008,False,0,1027659,2280852,0
15,9,0.0394792,True,54,87,240,56
16,2,600.004,False,0,1109098,2146784,0
16,7,0.0246341,True,34,58,158,51
17,8,42.7273,True,61,112210,233460,58
17,10,0.104058,True,66,263,619,56
18,4,600.001,False,0,1006606,2187840,0
18,7,0.0249564,True,48,69,160,55
19,1,600.001,False,0,924500,2121912,0
19,5,209.965,True,48,324477,774897,55
20,1,0.0252301,True,57,56,176,56
20,5,0.131006,True,61,282,877,56
21,1,600.001,False,0,961651,2051037,0
21,9,600.001,False,0,979085,2060965,0
22,4,600.001,False,0,754579,2047642,0
22,6,600.001,False,0,858896,2204586,0
23,2,0.114261,True,53,272,685,55
23,5,600,False,0,961221,2128144,0
24,3,17.938,True,69,39348,88898,58
24,6,0.560004,True,56,1654,3475,58
25,2,600.001,False,0,948722,1992430,0
25,10,600,False,0,858545,1952455,0
26,4,303.276,True,62,454314,998935,58
26,7,0.16661,True,56,395,879,55
27,6,0.089712,True,59,176,491,57
27,8,0.0463744,True,66,98,262,59
28,3,600.001,False,0,722398,1681214,0
28,9,19.6149,True,62,38246,98719,56
29,1,600.001,False,0,750557,1722541,0
29,6,600,False,0,775394,1707541,0
30,2,600.001,False,0,703404,1657413,0
30,4,600.001,False,0,675794,1467759,0
31,2,0.0373193,True,63,65,233,58
31,9,600.001,False,0,757712,1727371,0
32,6,0.0250982,True,44,54,130,53
32,10,0.0296347,True,51,62,167,57
33,1,2.53503,True,65,6230,12390,58
33,7,0.104428,True,58,241,559,53
34,5,678.076,False,0,648224,1275403,0
34,9,0.132199,True,60,295,602,53
35,1,0.0559152,True,57,126,298,52
35,6,0.0310788,True,58,71,171,55
36,1,0.0316401,True,66,61,159,61
36,5,0.0318539,True,64,60,170,60
37,5,627.072,False,0,570546,1370267,0
37,8,706.106,False,0,592115,1264111,0
38,1,0.782725,True,48,1713,3957,61
38,4,19.0003,True,59,38005,77041,55
39,2,1.77235,True,54,4281,9523,56
39,7,837.063,False,0,669352,1167211,0
40,2,1.22911,True,56,2632,5665,58
40,7,0.0290944,True,46,63,147,56
41,4,735.733,False,0,583221,1214202,0
41,10,681.916,False,0,597374,1248651,0
42,1,1.31769,True,58,2697,5411,55
42,8,730.114,False,0,582071,1351939,0
43,3,55.6488,True,57,85812,212550,54
43,7,347.727,True,52,363457,766319,57
44,3,0.0315349,True,51,53,150,53
44,6,0.0275998,True,56,56,150,56
45,1,600.004,False,0,514957,1039004,0
45,5,600.004,False,0,506840,1038660,0
46,1,38.2411,True,59,57266,134911,58
46,8,44.7388,True,58,57901,146705,55
47,3,600.011,False,0,332187,771091,0
47,6,600.008,False,0,460483,950579,0
48,2,0.043466,True,54,64,195,59
48,9,3.40164,True,59,5595,12957,55
