group,exam,time,finished,makespan,expand number,generated number,generatedTime%,generatedTime(ave),avilableTime%,avilableTime(ave),hashTime%,hashTime(ave),HcostTime%,HcostTime(ave)
16,9,2.85845,False,0,1140,2369,12.6047,0.000152088,0.84016,1.01374e-05,0.135987,1.64082e-06,3.80041,4.58558e-05
1,2,60.0053,False,0,14886,38610,6.40825,9.95931e-05,0.520649,8.09161e-06,0.0739778,1.14972e-06,2.42326,3.76608e-05
16,9,15.4564,False,0,1140,2369,4.4721,0.00029178,0.172817,1.12754e-05,0.0296174,1.93238e-06,10.7755,0.00070304
