group,exam,time,finished,makespan,expand number,generated number,depth
1,1,28.7563,True,43,16816,107483,33
1,2,151.151,True,47,126619,660516,33
1,3,45.1894,True,47,40968,189021,33
1,4,888.871,False,0,382406,1737648,0
1,5,446.681,True,40,395450,2009855,33
1,6,151.726,True,48,211242,897605,33
1,7,0.54819,True,60,453,2506,33
1,8,1.68168,True,53,1580,8746,33
1,9,55.7127,True,49,40792,255700,33
1,10,31.3079,True,46,33562,188329,33
2,1,11.9664,True,38,12230,59750,33
2,2,14.7336,True,51,14561,88697,33
2,3,0.264283,True,43,181,1035,33
2,4,16.9922,True,43,18984,103833,33
2,5,0.700961,True,51,577,2934,33
2,6,0.231099,True,47,196,967,33
2,7,0.445778,True,47,295,1911,33
2,8,166.653,True,54,150127,908074,33
2,9,10.3445,True,54,8636,46707,33
2,10,6.46616,True,43,4680,30132,33
3,1,0.042679,True,72,39,132,33
3,2,9.2346,True,40,10681,53531,33
3,3,311.335,True,57,386592,1812811,33
3,4,0.044187,True,103,48,138,33
3,5,40.4858,True,53,52614,263012,33
3,6,0.0958217,True,54,73,324,33
3,7,0.4439,True,48,323,2087,33
3,8,0.594253,True,54,374,2368,33
3,9,60.4168,True,65,73604,359748,33
3,10,21.0331,True,59,30845,149865,33
4,1,0.0781498,True,49,61,280,33
4,2,0.0793413,True,60,69,292,33
4,3,0.139066,True,47,123,625,33
4,4,0.230604,True,57,179,868,33
4,5,3.47063,True,59,2342,15238,33
4,6,0.0395581,True,45,39,136,33
4,7,0.129929,True,56,101,495,33
4,8,0.0927374,True,55,74,348,33
4,9,2.88741,True,38,2185,13959,33
4,10,0.19172,True,48,228,876,33
5,1,216.746,True,53,120407,642516,33
5,2,600,False,0,291455,1456632,0
5,3,674.146,False,0,313447,1576033,0
5,4,600.001,False,0,216080,1422200,0
5,5,639.959,False,0,275229,1309562,0
5,6,600.002,False,0,189213,1313642,0
5,7,600.001,False,0,190825,1384746,0
5,8,611.379,False,0,214018,1268581,0
5,9,600.001,False,0,252545,1346197,0
5,10,628.914,False,0,244487,1224026,0
6,1,170.883,True,59,115982,601251,33
6,2,334.05,True,51,198001,1107529,33
6,3,12.2703,True,48,8443,45161,33
6,4,61.6063,True,42,41771,236479,33
6,5,674.267,False,0,388831,1593288,0
6,6,0.86931,True,37,409,2899,33
6,7,611.86,False,0,300519,1600171,0
6,8,39.6655,True,39,34210,186748,33
6,9,85.0928,True,51,60543,329293,33
6,10,17.4276,True,61,10015,55423,33
7,1,0.169034,True,55,168,633,33
7,2,0.572979,True,42,362,2117,33
7,3,0.568942,True,42,369,2025,33
7,4,8.47117,True,44,7596,39197,33
7,5,25.7248,True,44,18721,95236,33
7,6,3.7887,True,35,2286,15437,33
7,7,2.33698,True,50,2145,9845,33
7,8,5.98442,True,44,4067,24076,33
7,9,714.594,False,0,596900,1998658,0
7,10,701.924,False,0,437616,1894669,0
8,1,0.0668927,True,44,39,185,33
8,2,0.29032,True,51,224,1242,33
8,3,2.53651,True,53,1430,9931,33
8,4,0.170821,True,48,119,581,33
8,5,0.164237,True,58,127,574,33
8,6,0.23359,True,47,181,871,33
8,7,0.164551,True,41,105,573,33
8,8,1.01993,True,51,707,3756,33
8,9,0.182427,True,39,102,626,33
8,10,0.233177,True,67,143,744,33
9,1,660.024,False,0,179144,1174318,0
9,2,721.161,False,0,245556,1252100,0
9,3,638.294,False,0,193747,1154630,0
9,4,678.035,False,0,192214,1267266,0
9,5,660.703,False,0,230720,1224362,0
9,6,628.927,False,0,186984,1135633,0
9,7,822.557,False,0,181924,1161205,0
9,8,600.006,False,0,179386,1004719,0
9,9,600.001,False,0,180880,1035989,0
9,10,600.001,False,0,141719,969431,0
10,1,600.001,False,0,207749,1246735,0
10,2,834.109,False,0,321501,1246496,0
10,3,667.496,False,0,284844,1276145,0
10,4,739.319,False,0,275476,1271463,0
10,5,662.224,False,0,232543,1226231,0
10,6,732.184,False,0,236740,1233675,0
10,7,63.806,True,49,37044,203449,33
10,8,646.152,False,0,206561,1234303,0
10,9,0.239472,True,49,155,801,33
10,10,712.784,False,0,205522,1280493,0
11,1,5.56371,True,54,3947,17518,33
11,2,0.184136,True,56,146,556,33
11,3,31.6272,True,81,20206,92244,33
11,4,726.624,False,0,299136,1415651,0
11,5,22.2679,True,49,14117,86355,33
11,6,3.68071,True,44,1707,11168,33
11,7,157.466,True,36,80516,454995,33
11,8,1.53919,True,62,1701,6172,33
11,9,0.140594,True,67,81,344,33
11,10,0.284215,True,38,170,831,33
12,1,0.0670133,True,47,40,167,33
12,2,0.104645,True,46,55,269,33
12,3,0.28404,True,37,179,916,33
12,4,0.187864,True,63,92,480,33
12,5,2.32285,True,47,1211,8262,33
12,6,2.96328,True,53,2295,9923,33
12,7,3.30367,True,55,2401,11476,33
12,8,1.86491,True,35,838,6460,33
12,9,0.0987347,True,52,67,284,33
12,10,10.9275,True,57,7643,38695,33
13,1,691.057,False,0,158692,1132918,0
13,2,660.482,False,0,167575,1132968,0
13,3,685.93,False,0,187932,1137945,0
13,4,663.356,False,0,215538,1125582,0
13,5,675.998,False,0,159305,1093784,0
13,6,649.667,False,0,153992,1124894,0
13,7,685.407,False,0,177947,1119033,0
13,8,730.22,False,0,170569,1104308,0
13,9,679.735,False,0,178466,1102551,0
13,10,677.915,False,0,152213,1083638,0
14,1,714.481,False,0,318078,1307142,0
14,2,784.966,False,0,224610,1185229,0
14,3,721.48,False,0,239585,1164404,0
14,4,710.141,False,0,215378,1179307,0
14,5,19.3362,True,52,7400,48507,33
14,6,30.8076,True,35,12988,81837,33
14,7,788.507,False,0,204899,1158975,0
14,8,0.629471,True,54,287,1603,33
14,9,688.375,False,0,203140,1192894,0
14,10,815.805,False,0,283703,1205286,0
15,1,6.77741,True,46,3170,17031,33
15,2,2.87548,True,47,932,6730,33
15,3,3.57856,True,48,3039,12511,33
15,4,2.77272,True,48,1471,7740,33
15,5,735.216,False,0,271182,1190591,0
15,6,0.209764,True,67,96,465,33
15,7,0.0582223,True,47,34,135,33
15,8,909.201,False,0,337565,1256075,0
15,9,0.280323,True,54,145,758,33
15,10,0.669789,True,65,346,1779,33
16,1,5.40273,True,51,2869,13768,33
16,2,0.230128,True,48,115,587,33
16,3,0.136406,True,36,74,368,33
16,4,0.171222,True,47,80,429,33
16,5,0.481769,True,51,285,1556,33
16,6,0.264378,True,51,97,682,33
16,7,0.291251,True,34,156,850,33
16,8,0.314798,True,44,134,787,33
16,9,0.123024,True,44,89,373,33
16,10,71.5936,True,51,43714,208971,33
17,1,887.787,False,0,334781,1564460,0
