group,exam,time,finished,makespan,expand number,generated number,depth
19,7,600.003,False,0,1197068,1928559,0
19,8,3.22679,True,55,8108,27368,58
19,9,0.631179,True,38,1778,4877,51
19,10,1394.42,False,0,1204855,2513093,0
20,1,0.0267908,True,57,56,176,56
20,2,0.0359595,True,70,91,231,59
20,3,0.108651,True,49,255,697,55
20,4,0.0741551,True,43,201,435,55
20,5,0.124924,True,61,282,877,56
20,6,0.0294154,True,51,76,208,54
20,7,0.0275934,True,42,66,163,54
20,8,0.0263026,True,51,56,146,56
20,9,0.0250568,True,41,56,176,56
20,10,0.0223228,True,37,50,130,50
21,1,600.002,False,0,1020844,2174540,0
21,2,600.004,False,0,909391,2385367,0
