group,exam,time,finished,makespan,expand number,generated number,depth
21,3,1066.86,False,0,342164,1409224,0
21,4,600.007,False,0,302240,1236168,0
21,5,332.936,True,55,138813,677862,33
21,6,600.004,False,0,264152,1322142,0
21,7,405.522,True,65,198252,876580,33
21,8,600.004,False,0,267127,1266984,0
21,9,1095.4,False,0,263728,1242637,0
21,10,3211.68,False,0,220503,904970,0
22,1,2.09274,True,42,1135,5019,33
22,2,3.72488,True,45,1799,7715,33
22,3,600.005,False,0,365839,1248855,0
22,4,14.1074,True,42,9160,43900,33
22,5,600.003,False,0,296541,1452610,0
22,6,479.518,True,52,226887,1117224,33
22,7,193.788,True,60,111254,490038,33
22,8,1001.23,False,0,277095,1353476,0
22,9,0.127838,True,76,87,303,33
22,10,180.086,True,55,87262,395172,33
23,1,0.488031,True,63,303,1290,33
23,2,0.159165,True,53,98,370,33
23,3,0.643525,True,46,387,1797,33
23,4,2.60785,True,65,1257,5904,33
23,5,52.836,True,52,30128,148311,33
23,6,7.55309,True,48,8551,27210,33
23,7,5.02512,True,60,2955,13809,33
23,8,0.773143,True,48,503,2000,33
23,9,44.9344,True,63,28331,122354,33
23,10,0.225882,True,61,162,607,33
24,1,0.204261,True,53,178,678,33
24,2,1.29285,True,58,727,3287,33
24,3,0.111757,True,69,83,289,33
24,4,0.250166,True,53,144,594,33
24,5,0.142196,True,51,96,371,33
24,6,0.521984,True,56,306,1433,33
24,7,6.18155,True,44,4531,18510,33
24,8,3.05499,True,38,1702,8766,33
24,9,0.374101,True,43,175,1036,33
24,10,0.242521,True,53,131,644,33
25,1,600.001,False,0,213647,1147307,0
25,2,964.535,False,0,258990,1189168,0
25,3,600.003,False,0,210092,1165800,0
25,4,952.135,False,0,240371,1177311,0
25,5,981.791,False,0,216676,1154640,0
25,6,600,False,0,228131,1164672,0
25,7,1030.77,False,0,236880,1152500,0
25,8,600.004,False,0,209522,1150700,0
25,9,1026.72,False,0,321697,1263876,0
25,10,599.931,False,0,214086,1142832,0
26,1,32.773,True,59,26230,96317,33
26,2,1.44024,True,40,795,3505,33
26,3,0.186514,True,58,137,535,33
26,4,0.817287,True,62,374,1882,33
26,5,599.95,False,0,349467,1319521,0
26,6,18.2113,True,53,9717,44057,33
26,7,2.19578,True,56,949,5477,33
26,8,77.6851,True,66,37202,171362,33
26,9,75.0484,True,43,33956,171019,33
26,10,241.739,True,49,92813,505711,33
27,1,3.08285,True,43,1543,8121,33
27,2,1.91812,True,58,1021,4750,33
27,3,12.9145,True,60,10205,35033,33
27,4,0.639551,True,64,422,1481,33
27,5,1.33216,True,49,776,3284,33
27,6,1.07146,True,59,639,2611,33
27,7,12.1022,True,49,8267,37678,33
27,8,0.169072,True,66,101,402,33
27,9,0.130018,True,55,89,314,33
27,10,4.72008,True,62,2409,11075,33
28,1,0.0763299,True,69,65,189,33
28,2,0.286052,True,57,160,630,33
28,3,0.290825,True,40,154,724,33
28,4,0.815142,True,49,457,2060,33
28,5,0.0723716,True,73,50,161,33
28,6,0.932877,True,55,681,2573,33
28,7,0.19127,True,48,96,373,33
28,8,0.20709,True,53,103,453,33
28,9,0.311271,True,62,223,715,33
28,10,0.340976,True,59,155,671,33
29,1,599.969,False,0,169745,1021349,0
29,2,599.979,False,0,192054,1069604,0
29,3,599.981,False,0,212705,1133410,0
29,4,599.985,False,0,213306,1064907,0
29,5,599.991,False,0,201755,1055231,0
29,6,599.991,False,0,205518,1071359,0
29,7,599.995,False,0,225977,1093948,0
29,8,599.995,False,0,141224,871806,0
29,9,599.999,False,0,160306,868247,0
29,10,599.998,False,0,250422,1003125,0
30,1,600.004,False,0,203637,999924,0
30,2,600.007,False,0,209645,900627,0
30,3,2788.8,False,0,166448,628877,0
30,4,479.581,True,53,175359,704141,33
30,5,103.939,True,54,38892,165983,33
30,6,600.003,False,0,234981,983003,0
30,7,47.4358,True,68,28464,112661,33
30,8,1071.23,False,0,241895,1155067,0
30,9,600.001,False,0,210953,1029003,0
30,10,600.004,False,0,263579,1199907,0
31,1,2.42829,True,43,1740,6837,33
31,2,2.34613,True,63,864,4795,33
31,3,7.47985,True,58,4563,17293,33
31,4,14.2582,True,50,9628,39933,33
31,5,47.4277,True,52,43861,133942,33
31,6,3.65613,True,53,1529,8882,33
31,7,0.864461,True,61,440,2027,33
31,8,0.166034,True,58,111,391,33
31,9,600.002,False,0,272050,1154466,0
31,10,600.002,False,0,276472,1191653,0
32,1,0.170612,True,61,105,376,33
32,2,0.207543,True,60,119,500,33
32,3,0.388603,True,57,230,879,33
32,4,0.054842,True,68,49,127,33
32,5,10.4764,True,54,7560,26572,33
32,6,0.155504,True,44,91,342,33
32,7,0.262676,True,35,114,553,33
32,8,0.882189,True,54,489,2255,33
32,9,0.188981,True,65,85,385,33
32,10,0.669755,True,51,322,1453,33
33,1,2.23477,True,65,1564,6183,33
33,2,3.01207,True,60,2625,9701,33
33,3,74.1492,True,55,54343,233719,33
33,4,4.97886,True,77,3489,14480,33
33,5,1.86032,True,53,1346,5790,33
33,6,0.358345,True,59,250,900,33
33,7,0.0847279,True,58,74,247,33
33,8,8.78786,True,61,8001,25948,33
33,9,5.53068,True,65,4182,16534,33
33,10,0.15576,True,53,104,396,33
34,1,6.25564,True,68,4914,18733,33
34,2,0.41996,True,44,351,1283,33
34,3,1.21863,True,69,925,3661,33
34,4,0.0912367,True,67,78,253,33
34,5,11.6812,True,63,11601,41561,33
34,6,2.16957,True,52,1681,6603,33
34,7,13.4866,True,58,14476,48617,33
34,8,4.89346,True,58,3740,16532,33
34,9,0.0604624,True,60,56,164,33
34,10,0.160051,True,47,92,405,33
35,1,0.315599,True,57,220,882,33
35,2,0.130596,True,53,97,387,33
35,3,0.0831259,True,60,75,234,33
35,4,1.14853,True,50,922,3986,33
35,5,0.0797037,True,60,63,223,33
35,6,0.339622,True,58,239,936,33
35,7,0.258642,True,61,198,675,33
35,8,0.0898555,True,63,62,214,33
35,9,0.407366,True,59,250,952,33
35,10,1.7882,True,59,1588,5694,33
36,1,0.113962,True,66,87,334,33
36,2,0.281841,True,44,223,900,33
36,3,0.11526,True,61,83,308,33
36,4,0.145637,True,59,119,379,33
36,5,0.175425,True,64,139,478,33
36,6,0.162198,True,46,126,482,33
36,7,0.120471,True,56,76,315,33
36,8,0.139651,True,63,114,377,33
36,9,0.102596,True,59,75,289,33
36,10,0.733337,True,59,464,2119,33
37,1,600.01,False,0,303415,1185392,0
37,2,600.004,False,0,282626,1106048,0
37,3,600.003,False,0,253633,996163,0
37,4,600.004,False,0,249908,1007553,0
37,5,48.8166,True,80,24605,94774,33
37,6,139.009,True,73,96192,318382,33
37,7,600.002,False,0,222677,995113,0
37,8,177.271,True,72,110793,408882,33
37,9,179.447,True,57,99716,394832,33
37,10,600.008,False,0,358025,1278074,0
38,1,1.31701,True,48,839,3345,33
38,2,11.4301,True,54,6533,27924,33
38,3,9.31755,True,59,5608,24331,33
38,4,0.387199,True,59,241,900,33
38,5,160.955,True,71,123594,425479,33
38,6,2.31802,True,63,1832,6102,33
38,7,1.90486,True,65,1062,5092,33
38,8,8.00551,True,61,7941,25572,33
38,9,12.5496,True,63,9612,37037,33
38,10,10.4403,True,60,6713,28661,33
39,1,0.214159,True,55,128,504,33
39,2,0.114784,True,54,79,274,33
39,3,0.342181,True,54,216,882,33
39,4,0.446909,True,53,228,1003,33
39,5,0.332673,True,55,264,964,33
39,6,0.195307,True,69,121,468,33
39,7,301.419,True,56,303563,900185,33
39,8,0.231381,True,67,135,537,33
39,9,1.98879,True,64,1732,5524,33
39,10,11.8534,True,60,15605,40474,33
40,1,0.229374,True,51,150,540,33
40,2,0.205386,True,56,170,635,33
40,3,0.26454,True,57,148,653,33
40,4,0.369053,True,57,179,754,33
40,5,0.124246,True,65,91,316,33
40,6,0.105677,True,60,81,279,33
40,7,0.130582,True,46,77,330,33
40,8,0.202876,True,57,129,511,33
40,9,0.10828,True,64,72,245,33
40,10,0.274292,True,51,189,721,33
41,1,600.003,False,0,288806,1116036,0
41,2,600.002,False,0,306426,1064086,0
41,3,1133.05,False,0,329585,1159556,0
41,4,600.002,False,0,225668,1021256,0
41,5,600.002,False,0,265411,1062607,0
41,6,601.072,False,0,230685,1061351,0
41,7,600.003,False,0,207302,1059585,0
41,8,600.005,False,0,264513,1075565,0
41,9,600.003,False,0,273299,1115008,0
41,10,600.001,False,0,222207,1061756,0
42,1,0.284524,True,58,152,650,33
42,2,277.343,True,50,140892,645687,33
42,3,51.1117,True,60,27683,113171,33
42,4,200.642,True,49,102301,438997,33
42,5,0.169943,True,52,118,435,33
42,6,23.2277,True,66,12984,56921,33
42,7,290.228,True,66,201701,755430,33
42,8,600.005,False,0,333757,1169438,0
42,9,117.869,True,60,54976,262495,33
42,10,0.328615,True,75,163,678,33
43,1,600.002,False,0,303161,1230754,0
43,2,0.522464,True,43,297,1277,33
43,3,1.5186,True,57,839,3392,33
43,4,0.146419,True,67,95,305,33
43,5,135.36,True,64,81847,322276,33
43,6,5.68448,True,58,3498,13083,33
43,7,0.382561,True,52,184,758,33
43,8,4.01851,True,62,3686,11804,33
43,9,52.0126,True,57,41477,145457,33
43,10,93.299,True,60,71122,229983,33
44,1,0.23336,True,50,125,508,33
44,2,0.093449,True,54,60,231,33
44,3,0.254891,True,51,147,612,33
44,4,0.0410538,True,57,33,94,33
44,5,0.175442,True,55,91,367,33
44,6,0.109601,True,56,74,269,33
44,7,0.187909,True,42,127,501,33
44,8,0.165587,True,49,101,389,33
44,9,0.102025,True,64,101,280,33
44,10,0.0808946,True,63,57,189,33
45,1,600.005,False,0,250661,1042460,0
45,2,600.006,False,0,225925,985562,0
45,3,600.003,False,0,231487,972579,0
45,4,600.007,False,0,242236,1001094,0
45,5,600.002,False,0,264804,1042665,0
45,6,600.002,False,0,206047,962642,0
45,7,600.002,False,0,247100,1064034,0
45,8,600.003,False,0,284533,1070615,0
45,9,600.007,False,0,210745,1039629,0
45,10,600.002,False,0,219918,1023569,0
46,1,27.2342,True,59,18641,73651,33
46,2,99.9466,True,67,49812,208097,33
46,3,600.003,False,0,342603,1176396,0
46,4,13.2783,True,64,8587,31187,33
46,5,4.89565,True,57,2140,10073,33
46,6,600.003,False,0,280039,1074791,0
46,7,600.001,False,0,252751,1081879,0
46,8,14.7567,True,58,6508,28370,33
46,9,516.067,True,49,247026,980383,33
46,10,600.005,False,0,274911,1187219,0
47,1,0.164957,True,58,134,416,33
47,2,1.0771,True,59,601,2319,33
47,3,3.38968,True,55,2083,7911,33
47,4,12.8636,True,49,6935,30769,33
47,5,23.5209,True,47,16986,61208,33
47,6,128.517,True,53,74017,282319,33
47,7,284.848,True,66,182555,628894,33
47,8,0.241264,True,48,138,539,33
47,9,0.893933,True,65,471,1764,33
47,10,113.385,True,60,58579,242102,33
48,1,0.135078,True,63,60,235,33
48,2,0.264865,True,54,145,564,33
48,3,5.18201,True,50,3412,15288,33
48,4,0.164845,True,57,111,377,33
48,5,0.665133,True,58,458,1795,33
48,6,0.129069,True,58,79,297,33
48,7,0.186141,True,55,131,397,33
48,8,0.19964,True,44,100,417,33
48,9,0.266753,True,59,164,599,33
48,10,0.189502,True,54,140,527,33
